city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
甘孜州,Gan_zi,四川省,Sichuan,101.968547,30.055279,19.994,40.729,12.947,21.874,65.212,77.478,38.955
凉山州,Liang_shan,四川省,Sichuan,102.273503,27.887752,27.012,45.282,27.476,23.066,101.0,116.403,44.968
六盘水,Liu_pan_shui,贵州省,Guizhou,104.837555,26.598833,43.888,69.089,15.957,27.761,56.069,64.081,64.92
安顺,An_shun,贵州省,Guizhou,105.954417,26.259252,29.265,50.455,36.499,14.47,82.622,90.346,47.99
铜仁地区,Tong_ren,贵州省,Guizhou,109.187435,27.696773,27.746,58.251,18.133,18.084,77.294,90.17,52.309
毕节,Bi_jie,贵州省,Guizhou,105.311581,27.304095,31.363,46.499,15.905,24.729,73.648,84.389,47.415
黔西南州,Qian_xi_nan,贵州省,Guizhou,104.912492,25.093967,20.236,43.435,23.13,18.006,65.862,74.037,41.457
黔东南州,Qian_dong_nan,贵州省,Guizhou,107.989446,26.589703,32.094,47.858,11.343,26.762,68.607,78.994,47.452
黔南州,Qian_nan,贵州省,Guizhou,107.528403,26.260616,22.718,37.906,36.61,16.326,74.214,83.182,39.647
保山,Bao_shan,云南省,Yunnan,99.177273,25.139039,36.202,57.467,15.19,16.7,87.729,98.617,57.193
昭通,Zhao_tong,云南省,Yunnan,103.723512,27.344084,33.916,63.458,35.41,17.314,98.778,113.94,57.638
丽江,Li_jiang,云南省,Yunnan,100.232465,26.860657,16.012,28.807,7.571,13.159,80.902,88.582,32.083
普洱,Pu_er,云南省,Yunnan,100.97257,22.830979,24.366,40.605,12.329,13.643,74.957,83.289,42.029
临沧,Lin_cang,云南省,Yunnan,100.09544,23.890469,28.406,44.346,15.136,15.23,67.817,76.096,46.437
楚雄州,Chu_xiong,云南省,Yunnan,101.534412,25.051774,22.239,38.187,23.533,19.086,63.608,70.712,38.255
红河州,Hong_he,云南省,Yunnan,103.381549,23.369996,35.186,56.23,23.654,11.628,89.067,101.416,55.072
文山州,Wen_shan,云南省,Yunnan,104.222569,23.405994,37.968,49.847,10.366,15.012,80.617,91.873,54.785
西双版纳州,Xi_shuang_ban_na,云南省,Yunnan,100.803447,22.013601,29.63,61.74,11.052,20.078,71.098,90.405,53.633
大理州,Da_li,云南省,Yunnan,100.274583,25.612128,27.89,36.167,7.905,15.83,77.369,85.744,43.951
德宏州,De_hong,云南省,Yunnan,98.591359,24.438011,26.309,67.052,26.765,20.481,92.878,113.913,57.031
怒江州,Nu_jiang,云南省,Yunnan,98.863288,25.823707,21.553,40.28,6.656,8.121,71.829,83.751,39.914
迪庆州,Di_qing,云南省,Yunnan,99.70953,27.825185,16.919,34.994,13.566,14.494,51.003,58.199,34.937
昌都,Chang_dou,西藏自治区,Tibet,97.186654,31.144249,24.895,53.423,6.86,18.003,90.341,100.478,53.313
山南,Shan_nan,西藏自治区,Tibet,91.778675,29.243027,17.304,42.616,4.965,9.772,81.832,87.522,42.788
日喀则,Ri_ka_ze,西藏自治区,Tibet,88.902952,29.255583,23.74,40.523,8.864,16.986,97.371,109.877,44.556
那曲地区,Na_qu_di_qu,西藏自治区,Tibet,92.057338,31.482438,54.147,124.104,34.533,21.695,73.035,79.61,95.211
阿里地区,A_li_di_qu,西藏自治区,Tibet,80.112777,32.506866,18.625,33.075,14.234,10.503,69.262,73.686,36.769
林芝,Lin_zhi,西藏自治区,Tibet,94.368058,29.654042,10.673,26.186,4.986,8.032,86.593,94.407,30.071
汉中,Han_zhong,陕西省,Shaanxi,107.02943,33.0738,57.101,81.3,14.793,29.677,84.398,100.066,80.132
榆林,Yu_lin,陕西省,Shaanxi,109.741616,38.290884,38.7,85.058,19.171,35.954,94.392,106.499,72.553
安康,An_kang,陕西省,Shaanxi,109.035601,32.690513,54.841,80.939,27.349,19.718,84.931,100.216,77.703
商洛,Shang_luo,陕西省,Shaanxi,109.924418,33.878634,43.875,77.333,22.078,25.936,97.206,109.578,69.501
白银,Bai_yin,甘肃省,Gansu,104.144451,36.550825,43.714,114.98,50.997,26.301,77.413,85.616,87.025
天水,Tian_shui,甘肃省,Gansu,105.731417,34.587412,41.553,79.392,32.317,38.758,86.205,101.746,69.258
武威,Wu_wei,甘肃省,Gansu,102.644554,37.934378,40.093,100.297,32.977,26.413,94.078,105.686,77.2
张掖,Zhang_ye,甘肃省,Gansu,100.456411,38.932066,42.095,94.919,45.274,23.7,107.233,119.96,76.079
平凉,Ping_liang,甘肃省,Gansu,106.671442,35.549232,49.124,95.507,22.971,44.81,83.447,98.692,79.772
酒泉,Jiu_quan,甘肃省,Gansu,98.500685,39.738469,46.859,125.833,16.092,31.006,88.767,99.395,87.765
庆阳,Qing_yang,甘肃省,Gansu,107.649386,35.715216,37.846,80.745,37.023,22.472,88.043,96.67,68.715
定西,Ding_xi,甘肃省,Gansu,104.63242,35.586833,41.029,85.507,25.554,24.217,94.925,104.606,72.016
陇南,Long_nan,甘肃省,Gansu,104.928575,33.40662,53.117,89.257,27.831,25.818,92.545,104.513,78.635
临夏州,Lin_xia,甘肃省,Gansu,103.216391,35.607562,49.043,94.813,36.585,53.248,97.447,112.473,79.631
甘南州,Gan_nan,甘肃省,Gansu,102.917585,34.98914,36.946,79.494,24.314,20.536,100.521,116.32,67.279
海东地区,Hai_dong,青海省,Qinghai,102.110444,36.508511,57.461,106.874,32.898,39.195,92.653,108.714,88.608
海北州,Hai_bei,青海省,Qinghai,100.907434,36.960663,39.143,81.737,21.491,14.639,114.491,121.251,69.386
黄南州,Huang_nan,青海省,Qinghai,102.022428,35.525805,51.834,96.907,17.571,12.948,92.178,99.805,82.076
海南州,Hai_nan,青海省,Qinghai,100.626621,36.292102,42.541,85.948,13.782,12.805,119.422,130.157,72.945
果洛州,Guo_luo,青海省,Qinghai,100.251592,34.477194,42.602,93.838,26.89,23.215,109.024,116.534,76.115
玉树州,Yu_shu,青海省,Qinghai,97.013181,33.01098,19.362,48.193,11.298,16.106,72.118,79.234,44.914
海西州,Hai_xi,青海省,Qinghai,97.376299,37.38275,38.935,87.387,19.15,11.76,113.739,122.109,71.947
吴忠,Wu_zhong,宁夏回族自治区,Ningxia,106.205371,38.003713,48.683,107.138,27.556,19.862,58.715,69.507,85.363
中卫,Zhong_wei,宁夏回族自治区,Ningxia,105.203571,37.505701,49.195,105.411,33.245,20.962,95.857,103.88,87.564
固原,Gu_yuan,宁夏回族自治区,Ningxia,106.248577,36.021617,38.473,88.718,13.885,24.807,80.931,88.089,72.617
吐鲁番地区,Tu_lu_fan,新疆维吾尔自治区,Xinjiang,89.192459,42.948549,67.653,145.905,20.777,35.934,80.009,90.128,113.692
哈密地区,Ha_mi,新疆维吾尔自治区,Xinjiang,93.521308,42.832856,38.631,110.988,8.68,13.87,46.092,51.527,83.951
昌吉州,Chang_ji,新疆维吾尔自治区,Xinjiang,87.315002,44.016854,46.055,103.844,12.579,40.303,78.726,89.014,82.326
博州,Bo_er_ta_la_meng_gu_zi_zhi_zhou,新疆维吾尔自治区,Xinjiang,82.072915,44.912196,34.847,73.251,25.48,20.367,38.893,45.669,63.445
阿克苏地区,A_ke_su_di_qu,新疆维吾尔自治区,Xinjiang,80.266943,41.17503,78.854,213.881,19.43,31.933,97.3,111.862,145.135
克州,Ke_zi_lei_su_ke_er_ke_zi_zi_zhi_zhou,新疆维吾尔自治区,Xinjiang,76.174309,39.720471,55.297,195.849,9.747,12.643,91.696,104.681,131.323
喀什地区,Ka_shi_di_qu,新疆维吾尔自治区,Xinjiang,75.996391,39.476097,119.501,310.697,19.239,33.127,83.501,97.663,195.445
和田地区,He_tian_di_qu,新疆维吾尔自治区,Xinjiang,79.928507,37.120446,99.452,350.043,74.161,27.141,80.617,92.014,199.291
